Number,Name,Artist ,BPM,BPM_3.0,TIME_3.0,BPM_4.0,TIME_4.0,BPM_5.0,TIME_5.0,BPM_6.0,TIME_6.0,BPM_7.0,TIME_7.0,BPM_9.0,TIME_9.0,BPM_10.0,TIME_10.0
1,Brain Implant (Cyberpunk Sci-Fi Trailer Action Intro),soundbay,100,136.36363636363637,10.884581089019775,136.36363636363637,9.942184925079346,136.36363636363637,9.916555881500244,136.36363636363637,9.904980659484863,136.36363636363637,9.951479434967041,136.36363636363637,9.945311784744263,136.36363636363637,9.980565071105957
2,Alone,BoDleasons,100,135.72014772260977,9.761645555496216,135.72014772260977,9.95219373703003,135.72014772260977,10.098652362823486,135.72014772260977,9.918627500534058,135.72014772260977,10.036705017089844,135.72014772260977,9.97800898551941,135.72014772260977,10.034685134887695
3,Don’t Talk,Cosmonkey,120,174.5267462568432,9.94581127166748,174.5267462568432,9.993094205856323,174.5267462568432,9.877967357635498,174.5267462568432,9.910979986190796,174.5267462568432,9.980650663375854,174.5267462568432,9.948498964309692,174.5267462568432,10.033458232879639
4,Experimental Cinematic Hip-Hop,Rockot,143,135.72014772260977,9.888865947723389,135.72014772260977,10.021355152130127,135.72014772260977,9.975914716720581,135.72014772260977,9.904734373092651,135.72014772260977,9.96958613395691,135.72014772260977,9.905594825744629,135.72014772260977,10.029681205749512
5,Future Design ,penguinmusic,120,179.3290410030498,9.96159553527832,179.3290410030498,10.090182304382324,179.3290410030498,9.976683616638184,179.3290410030498,9.910229682922363,179.3290410030498,9.94291615486145,179.3290410030498,9.92026424407959,179.3290410030498,10.043185234069824
6,Gardens,Stylish Chill,105,72.63244578643975,9.958067178726196,72.63244578643975,9.97090482711792,72.63244578643975,9.911481142044067,72.63244578643975,9.995717763900757,72.63244578643975,9.897202491760254,72.63244578643975,9.911782264709473,72.63244578643975,9.979549646377563
7,Gorila,Alex_MakeMusic,105,144.31749849669274,11.353719472885132,144.31749849669274,11.359519720077515,144.31749849669274,11.340220212936401,144.31749849669274,11.266635417938232,144.31749849669274,11.499295711517334,144.31749849669274,11.45095682144165,144.31749849669274,11.363692998886108
8,Jungle Waves,DIMMYSAD,114,160.92932733244132,10.07326340675354,160.92932733244132,9.960883617401123,160.92932733244132,9.932020664215088,160.92932733244132,9.914389610290527,160.92932733244132,9.996230125427246,160.92932733244132,10.016313076019287,160.92932733244132,9.912292718887329
9,Kugelsicher,TremoxBeatz,123,180.47374357688935,11.491190433502197,180.47374357688935,11.344706773757935,180.47374357688935,11.331389427185059,180.47374357688935,11.422191858291626,180.47374357688935,11.40280294418335,180.47374357688935,11.58498740196228,180.47374357688935,11.347624063491821
10,So Freash,Cosmonkey,135,190.0043084877208,9.976414918899536,190.0043084877208,9.791994094848633,190.0043084877208,9.918629169464111,190.0043084877208,9.995728015899658,190.0043084877208,9.976082801818848,190.0043084877208,9.973414897918701,190.0043084877208,9.89847993850708
