Number,Name,Artist ,BPM,BPM_3.0,TIME_3.0,BPM_4.0,TIME_4.0,BPM_5.0,TIME_5.0,BPM_6.0,TIME_6.0,BPM_7.0,TIME_7.0,BPM_9.0,TIME_9.0,BPM_10.0,TIME_10.0
1,Brain Implant (Cyberpunk Sci-Fi Trailer Action Intro),soundbay,100,136.57479095695263,11.017226696014404,136.57479095695263,9.814072847366333,136.57479095695263,9.845171928405762,136.57479095695263,9.785634279251099,136.57479095695263,9.80080509185791,136.57479095695263,9.864694833755493,136.57479095695263,9.828116655349731
2,Alone,BoDleasons,100,186.20689655172413,9.823930501937866,186.20689655172413,9.815233707427979,186.20689655172413,9.864479541778564,186.20689655172413,9.838371515274048,186.20689655172413,9.8086576461792,186.20689655172413,9.815466165542603,186.20689655172413,9.83831787109375
3,Don’t Talk,Cosmonkey,120,173.5992651882955,9.83769416809082,173.5992651882955,9.819169759750366,173.5992651882955,9.850525379180908,173.5992651882955,9.953694105148315,173.5992651882955,9.81808090209961,173.5992651882955,9.802133798599243,173.5992651882955,9.859156131744385
4,Experimental Cinematic Hip-Hop,Rockot,143,190.0043084877208,9.835612535476685,190.0043084877208,9.829307556152344,190.0043084877208,10.319076776504517,190.0043084877208,9.836721658706665,190.0043084877208,9.81177544593811,190.0043084877208,9.808010816574097,190.0043084877208,10.229189395904541
5,Future Design ,penguinmusic,120,175.93085106382978,9.861216068267822,175.93085106382978,9.80229926109314,175.93085106382978,9.88889455795288,175.93085106382978,9.845710039138794,175.93085106382978,9.81711721420288,175.93085106382978,9.830967664718628,175.93085106382978,10.086521863937378
6,Gardens,Stylish Chill,105,72.70029673590504,10.004114866256714,72.70029673590504,9.801271677017212,72.70029673590504,9.846343278884888,72.70029673590504,9.847378015518188,72.70029673590504,9.81464672088623,72.70029673590504,9.82501769065857,72.70029673590504,9.828019857406616
7,Gorila,Alex_MakeMusic,105,143.84895859347685,11.266676425933838,143.84895859347685,11.275168180465698,143.84895859347685,11.314788818359375,143.84895859347685,11.278841018676758,143.84895859347685,11.257542848587036,143.84895859347685,11.45028305053711,143.84895859347685,11.284807443618774
8,Jungle Waves,DIMMYSAD,114,162.51074806534822,9.851271867752075,162.51074806534822,9.868761539459229,162.51074806534822,9.814764022827148,162.51074806534822,9.849492311477661,162.51074806534822,9.828006267547607,162.51074806534822,10.04441213607788,162.51074806534822,9.827802181243896
9,Kugelsicher,TremoxBeatz,123,181.16625778448764,11.272396326065063,181.16625778448764,11.28005576133728,181.16625778448764,11.280044794082642,181.16625778448764,11.288586139678955,181.16625778448764,11.240199089050293,181.16625778448764,11.244198560714722,181.16625778448764,11.239156246185303
10,So Freash,Cosmonkey,135,190.0043084877208,9.829270839691162,190.0043084877208,9.856050491333008,190.0043084877208,9.826792001724243,190.0043084877208,9.840171575546265,190.0043084877208,9.958853006362915,190.0043084877208,9.798315525054932,190.0043084877208,9.826236248016357
